id	vernacularName	language
3964	Heidelbeer-Schnabeleule	de
3964	La Noctuelle épaissie	fr
3965	L'Hypénode des Tourbières	fr
3965	Marsh Oblique-barred	en
3965	Moeras-micro-uil	nl
3965	Moor-Motteneule	de
3966	Bloxworth Snout	en
3966	Dubbelstipsnuituil	nl
3966	L'Hypène des ponts	fr
3967	Bruine snuituil	nl
3967	La Noctuelle à museau	fr
3967	Nessel-Schnabeleule	de
3967	Snout	en
3968	Buttoned Snout	en
3968	Hopfen-Zünslereule	de
3968	Hopsnuituil	nl
3968	Le Toupet	fr
3969	Brown Tiger Moth	en
3969	Bruine beer	nl
3969	Hofdame	de
3969	L'Ecaille civique, la petite Ecaille brune	fr
3970	Ganzenvoetmot	nl
3971	Zevenbladmot	nl
3972	Blassgelber Sprenkelspanner	de
3972	L'Epione pluvieuse	fr
3972	Sierlijke spanner	nl
3973	Aschgrauer Rindenspanner	de
3973	La Boarmie pointillée	fr
3973	Pale Oak Beauty	en
3973	Ringspikkelspanner	nl
3974	Great Oak Beauty	en
3974	Grote spikkelspanner	nl
3974	Großer Rindenspanner	de
3974	La Boarmie du Chêne	fr
3975	Heidelbeer-Stricheule	de
3975	La Noctuelle saxonne	fr
3975	Saxon	en
3975	Zwartstreepuil	nl
3976	Triangelmot	nl
3977	Tweelijnmot	nl
3978	Reehoefbladroller	nl
3979	Breitgebänderter Staudenspanner	de
3979	Grijze stipspanner	nl
3979	L'Impolie, l'Acidalie détournée	fr
3979	Riband Wave	en
3980	Breitgesäumter Zwergspanner	de
3980	La Truie	fr
3980	Schildstipspanner	nl
3980	Small Fan-footed Wave	en
3981	Bandstipspanner	nl
3981	L'Acidalie dégénérée	fr
3981	Portland Ribbon Wave	en
3981	Zweifarbiger Doppellinien-Zwergspanner	de
3982	Dubbellijnstipspanner	nl
3982	Hellbindiger Doppellinien-Zwergspanner	de
3982	L'Acidalie maritime, l'Ombrageuse	fr
3983	Einfarbiger Zwergspanner	de
3983	L'Acidalie diluée	fr
3983	Parelstipspanner	nl
3983	Silky Wave	en
3984	Braungewinkelter Zwergspanner	de
3984	L'Acidalie écussonnée	fr
3984	Single-dotted Wave	en
3984	Vlekstipspanner	nl
3985	Geblokte stipspanner	nl
3985	L'Echancrée	fr
3985	Small Scallop	en
3985	Zackenrand-Zwergspanner	de
3986	Dwarf Cream Wave	en
3986	Dwergstipspanner	nl
3986	Graurandiger Zwergspanner	de
3986	L'Acidalie familière	fr
3987	Braunrandiger Zwergspanner	de
3987	Isle of Wight Wave	en
3987	L'Acidalie roussie, la Phalène à côte rousse	fr
3987	Streepstipspanner	nl
3988	Heu-Zwergspanner	de
3988	L'Acidalie naine	fr
3988	Roestige stipspanner	nl
3988	Rusty Wave	en
3989	L'Acidalie des herboristes	fr
3989	Mittelbinden-Zwergspanner	de
3989	Strooiselstipspanner	nl
3990	Brachwiesen-Zwergspanner	de
3990	L'Acidalie maigre	fr
3990	Slanke stipspanner	nl
3991	Geelpurperen spanner	nl
3991	La Phalène aurorale, la Variée	fr
3991	Purple-bordered Gold	en
3991	Purpurstreifen-Zwergspanner	de
3992	Bright Wave	en
3992	L'Acidalie ocreuse	fr
3992	Ockerfarbiger Steppenheiden-Zwergspanner	de
3992	Okergele spanner	nl
