id	type	identifier	description	creator	rightsHolder
5570	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ASTHANSE_iM_02.jpg	leg. A. Riemis, coll. RBINS.	De Prins Guido	De Prins Guido
6287	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ERIOCATA_iM_02_gpwjLxI.jpg		Steeman Chris	Steeman Chris
4283	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ODONPRUN_iM_01.jpg		Steeman Chris	Steeman Chris
6308	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/Euchloe_crameri_2016_06_21_Beaumont-du-Ventoux_1.jpg		Vantieghem Pieter	Vantieghem Pieter
3960	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/HYLELIVO_iM_01.jpg	leg. G. De Prins, coll. G. De Prins.	De Prins Guido	De Prins Guido
4283	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ODONPRUN_iM_02.jpg		Steeman Chris	Steeman Chris
6242	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EPINCAPR_iA_01.jpg		Steeman Chris	Steeman Chris
6287	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ERIOCATA_e_01_mJLhHv4.jpg		Paquay Marc	Paquay Marc
5646	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/BUCCDEMA_m_03.jpg		Steeman Chris	Steeman Chris
4300	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/OPERFAGA_iW_103.jpg		Steeman Chris	Steeman Chris
5954	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/COLETAME_c_03.jpg		Steeman Chris	Steeman Chris
4271	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/OCHLSYLV_l_01_537nyX4.jpg		Baugnée Jean-Yves	Baugnée Jean-Yves
5646	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/BUCCDEMA_m_04.jpg		Steeman Chris	Steeman Chris
4294	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/OLIGSTRI_iM_02.jpg	gen. det STC11M	Steeman Chris	Steeman Chris
3935	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/Hipparchia_statilinus_2017_08_26_Kootwijk_1.jpg		Vantieghem Pieter	Vantieghem Pieter
4314	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHGRAC_iA_03_l9UavuW.jpg		Steeman Chris	Steeman Chris
4315	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHINCE_iA_03_HPtQcha.jpg		Steeman Chris	Steeman Chris
4315	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHINCE_iA_04_cOwHBTJ.jpg		Steeman Chris	Steeman Chris
4316	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHMINI_iA_02_qU1Q5ky.jpg		Steeman Chris	Steeman Chris
4316	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHMINI_iA_03_kNP9SiK.jpg		Steeman Chris	Steeman Chris
4318	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHOPIM_iA_02_kpWNeq0.jpg		Steeman Chris	Steeman Chris
4319	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHPOPU_iA_03_WSzcFdO.jpg		Steeman Chris	Steeman Chris
4319	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHPOPU_iA_04_b0zYE2u.jpg		Steeman Chris	Steeman Chris
5646	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/BUCCDEMA_iA_01_L6NSGBz.jpg		Steeman Chris	Steeman Chris
5956	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/COLETHER_iM_01.jpg	gen. det. Wullaert Steve	Steeman Chris	Steeman Chris
5736	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/CATOMARG_iA_01_jFAEIYZ.jpg		Steeman Chris	Steeman Chris
4405	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/PEDIARID_iA_01_UJsiWFv.jpg		Steeman Chris	Steeman Chris
6035	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/DIAPMEND_iM_03.jpg		Steeman Chris	Steeman Chris
4310	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHBETU_iA_01_lgp6xw0.jpg		Steeman Chris	Steeman Chris
5792	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/CHLOCLOR_iMup_02.jpg	leg. J. Hackray, coll. RBINS.	De Prins Willy	De Prins Willy
4298	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ONCOSEMI_iA_02_Fa9JBBH.jpg	worn specimen	Steeman Chris	Steeman Chris
4308	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/OROPFERR_iA_01_N2cD3lk.jpg		Steckx Eric	Steckx Eric
4034	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/LACAWLAT_iA_01_Vh7VcxO.jpg		Steeman Chris	Steeman Chris
4305	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORGYANTI_iM_02_B1YWvgw.jpg		Steeman Chris	Steeman Chris
4297	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/AGROLUNO_iA_01.jpg		Steeman Chris	Steeman Chris
4297	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/AGROLUNO_iA_02.jpg		Steeman Chris	Steeman Chris
