id	locality	countryCode	occurrenceStatus	eventDate
5518	Oost-Vlaanderen province	BE	present	After 2004
5518	Antwerpen province	BE	present	Before 1980
5518	Antwerpen province	BE	present	1980-2004
5518	Antwerpen province	BE	present	After 2004
5518	Limburg province	BE	present	Before 1980
5518	Limburg province	BE	present	1980-2004
5518	Limburg province	BE	present	After 2004
5518	Brabant province	BE	present	Before 1980
5518	Brabant province	BE	present	1980-2004
5518	Brabant province	BE	present	After 2004
5518	Hainaut province	BE	present	Before 1980
5518	Hainaut province	BE	present	1980-2004
5518	Hainaut province	BE	present	After 2004
5518	Namur province	BE	present	Before 1980
5518	Namur province	BE	present	1980-2004
5518	Namur province	BE	present	After 2004
5518	Liège province	BE	present	Before 1980
5518	Liège province	BE	present	1980-2004
5518	Liège province	BE	present	After 2004
5518	Luxembourg province	BE	present	Before 1980
5518	Luxembourg province	BE	present	1980-2004
5518	Luxembourg province	BE	present	After 2004
5519	Luxembourg province	BE	present	Before 1980
5521	West-Vlaanderen province	BE	present	Before 1980
5521	West-Vlaanderen province	BE	present	1980-2004
5521	West-Vlaanderen province	BE	present	After 2004
5521	Antwerpen province	BE	present	Before 1980
5521	Limburg province	BE	present	Before 1980
5521	Brabant province	BE	present	Before 1980
5521	Hainaut province	BE	present	Before 1980
5521	Namur province	BE	present	Before 1980
5521	Namur province	BE	present	1980-2004
5521	Namur province	BE	present	After 2004
5521	Liège province	BE	present	Before 1980
5521	Liège province	BE	present	1980-2004
5521	Liège province	BE	present	After 2004
5521	Luxembourg province	BE	present	Before 1980
5578	West-Vlaanderen province	BE	present	Before 1980
5578	West-Vlaanderen province	BE	present	1980-2004
5578	West-Vlaanderen province	BE	present	After 2004
5578	Oost-Vlaanderen province	BE	present	Before 1980
5578	Oost-Vlaanderen province	BE	present	1980-2004
5578	Oost-Vlaanderen province	BE	present	After 2004
5578	Antwerpen province	BE	present	Before 1980
5578	Antwerpen province	BE	present	1980-2004
5578	Antwerpen province	BE	present	After 2004
5578	Limburg province	BE	present	Before 1980
5578	Limburg province	BE	present	1980-2004
5578	Limburg province	BE	present	After 2004
5578	Brabant province	BE	present	Before 1980
5578	Brabant province	BE	present	1980-2004
5578	Brabant province	BE	present	After 2004
5578	Hainaut province	BE	present	Before 1980
5578	Hainaut province	BE	present	1980-2004
5578	Hainaut province	BE	present	After 2004
5578	Namur province	BE	present	Before 1980
5578	Namur province	BE	present	1980-2004
5578	Namur province	BE	present	After 2004
5578	Liège province	BE	present	Before 1980
5578	Liège province	BE	present	1980-2004
5578	Liège province	BE	present	After 2004
5578	Luxembourg province	BE	present	Before 1980
5578	Luxembourg province	BE	present	1980-2004
5578	Luxembourg province	BE	present	After 2004
5666	Oost-Vlaanderen province	BE	present	1980-2004
5666	Oost-Vlaanderen province	BE	present	After 2004
5666	Antwerpen province	BE	present	Before 1980
5666	Antwerpen province	BE	present	After 2004
5666	Limburg province	BE	present	1980-2004
5666	Limburg province	BE	present	After 2004
5666	Brabant province	BE	present	Before 1980
5666	Brabant province	BE	present	After 2004
5666	Hainaut province	BE	present	Before 1980
5666	Hainaut province	BE	present	After 2004
5666	Namur province	BE	present	Before 1980
5666	Namur province	BE	present	1980-2004
5666	Namur province	BE	present	After 2004
5666	Liège province	BE	present	Before 1980
5666	Liège province	BE	present	1980-2004
5666	Liège province	BE	present	After 2004
5666	Luxembourg province	BE	present	Before 1980
5666	Luxembourg province	BE	present	1980-2004
5666	Luxembourg province	BE	present	After 2004
5993	West-Vlaanderen province	BE	present	Before 1980
5993	West-Vlaanderen province	BE	present	1980-2004
5993	West-Vlaanderen province	BE	present	After 2004
5993	Antwerpen province	BE	present	Before 1980
5993	Antwerpen province	BE	present	1980-2004
5993	Antwerpen province	BE	present	After 2004
5993	Limburg province	BE	present	Before 1980
5993	Limburg province	BE	present	1980-2004
5993	Limburg province	BE	present	After 2004
5993	Brabant province	BE	present	Before 1980
5993	Hainaut province	BE	present	Before 1980
5993	Namur province	BE	present	1980-2004
5993	Namur province	BE	present	After 2004
5993	Liège province	BE	present	Before 1980
5993	Liège province	BE	present	After 2004
5993	Luxembourg province	BE	present	Before 1980
5994	Limburg province	BE	present	Before 1980
5994	Limburg province	BE	present	1980-2004
5994	Limburg province	BE	present	After 2004
5994	Namur province	BE	present	Before 1980
5994	Liège province	BE	present	Before 1980
5994	Luxembourg province	BE	present	Before 1980
5137	West-Vlaanderen province	BE	present	Before 1980
5137	West-Vlaanderen province	BE	present	1980-2004
5137	West-Vlaanderen province	BE	present	After 2004
5137	Oost-Vlaanderen province	BE	present	Before 1980
5137	Oost-Vlaanderen province	BE	present	1980-2004
5137	Oost-Vlaanderen province	BE	present	After 2004
5137	Antwerpen province	BE	present	Before 1980
5137	Antwerpen province	BE	present	1980-2004
5137	Antwerpen province	BE	present	After 2004
5137	Limburg province	BE	present	Before 1980
5137	Limburg province	BE	present	1980-2004
5137	Limburg province	BE	present	After 2004
5137	Brabant province	BE	present	Before 1980
5137	Brabant province	BE	present	After 2004
5137	Hainaut province	BE	present	Before 1980
5137	Hainaut province	BE	present	1980-2004
5137	Hainaut province	BE	present	After 2004
5137	Namur province	BE	present	Before 1980
5137	Namur province	BE	present	1980-2004
5137	Namur province	BE	present	After 2004
5137	Liège province	BE	present	Before 1980
5137	Liège province	BE	present	1980-2004
5137	Liège province	BE	present	After 2004
5137	Luxembourg province	BE	present	Before 1980
5137	Luxembourg province	BE	present	1980-2004
5137	Luxembourg province	BE	present	After 2004
6033	West-Vlaanderen province	BE	present	1980-2004
6033	West-Vlaanderen province	BE	present	After 2004
6033	Oost-Vlaanderen province	BE	present	After 2004
6033	Antwerpen province	BE	present	Before 1980
6033	Antwerpen province	BE	present	1980-2004
6033	Antwerpen province	BE	present	After 2004
6033	Limburg province	BE	present	Before 1980
6033	Limburg province	BE	present	1980-2004
6033	Limburg province	BE	present	After 2004
6033	Brabant province	BE	present	Before 1980
6033	Hainaut province	BE	present	Before 1980
6033	Hainaut province	BE	present	1980-2004
6033	Hainaut province	BE	present	After 2004
6033	Namur province	BE	present	Before 1980
6033	Namur province	BE	present	1980-2004
6033	Namur province	BE	present	After 2004
6033	Liège province	BE	present	Before 1980
6033	Liège province	BE	present	1980-2004
6033	Liège province	BE	present	After 2004
6033	Luxembourg province	BE	present	Before 1980
6033	Luxembourg province	BE	present	1980-2004
6033	Luxembourg province	BE	present	After 2004
6035	West-Vlaanderen province	BE	present	Before 1980
6035	West-Vlaanderen province	BE	present	1980-2004
6035	West-Vlaanderen province	BE	present	After 2004
6035	Oost-Vlaanderen province	BE	present	Before 1980
6035	Oost-Vlaanderen province	BE	present	1980-2004
6035	Oost-Vlaanderen province	BE	present	After 2004
6035	Antwerpen province	BE	present	Before 1980
6035	Antwerpen province	BE	present	1980-2004
6035	Antwerpen province	BE	present	After 2004
6035	Limburg province	BE	present	Before 1980
6035	Limburg province	BE	present	1980-2004
6035	Limburg province	BE	present	After 2004
6035	Brabant province	BE	present	Before 1980
6035	Brabant province	BE	present	1980-2004
6035	Brabant province	BE	present	After 2004
6035	Hainaut province	BE	present	Before 1980
6035	Hainaut province	BE	present	1980-2004
6035	Hainaut province	BE	present	After 2004
6035	Namur province	BE	present	Before 1980
6035	Namur province	BE	present	1980-2004
6035	Namur province	BE	present	After 2004
6035	Liège province	BE	present	Before 1980
6035	Liège province	BE	present	1980-2004
6035	Liège province	BE	present	After 2004
6035	Luxembourg province	BE	present	Before 1980
6035	Luxembourg province	BE	present	1980-2004
6035	Luxembourg province	BE	present	After 2004
6096	Namur province	BE	present	1980-2004
6096	Namur province	BE	present	After 2004
6096	Liège province	BE	present	Before 1980
6096	Liège province	BE	present	After 2004
6096	Luxembourg province	BE	present	Before 1980
6135	West-Vlaanderen province	BE	present	After 2004
6135	Oost-Vlaanderen province	BE	present	After 2004
6135	Antwerpen province	BE	present	After 2004
6135	Limburg province	BE	present	After 2004
6135	Brabant province	BE	present	After 2004
6135	Hainaut province	BE	present	After 2004
6135	Namur province	BE	present	Before 1980
6135	Namur province	BE	present	1980-2004
6135	Namur province	BE	present	After 2004
6135	Liège province	BE	present	Before 1980
6135	Liège province	BE	present	1980-2004
6135	Liège province	BE	present	After 2004
6135	Luxembourg province	BE	present	Before 1980
6135	Luxembourg province	BE	present	1980-2004
6135	Luxembourg province	BE	present	After 2004
6136	West-Vlaanderen province	BE	present	Before 1980
6136	West-Vlaanderen province	BE	present	1980-2004
6136	West-Vlaanderen province	BE	present	After 2004
6136	Oost-Vlaanderen province	BE	present	Before 1980
6136	Oost-Vlaanderen province	BE	present	1980-2004
6136	Oost-Vlaanderen province	BE	present	After 2004
6136	Antwerpen province	BE	present	Before 1980
6136	Antwerpen province	BE	present	1980-2004
6136	Antwerpen province	BE	present	After 2004
6136	Limburg province	BE	present	Before 1980
6136	Limburg province	BE	present	1980-2004
6136	Limburg province	BE	present	After 2004
6136	Brabant province	BE	present	Before 1980
6136	Brabant province	BE	present	1980-2004
6136	Brabant province	BE	present	After 2004
6136	Hainaut province	BE	present	Before 1980
6136	Hainaut province	BE	present	1980-2004
6136	Hainaut province	BE	present	After 2004
6136	Namur province	BE	present	Before 1980
6136	Namur province	BE	present	1980-2004
6136	Namur province	BE	present	After 2004
6136	Liège province	BE	present	Before 1980
6136	Liège province	BE	present	1980-2004
6136	Liège province	BE	present	After 2004
6136	Luxembourg province	BE	present	Before 1980
6136	Luxembourg province	BE	present	1980-2004
6136	Luxembourg province	BE	present	After 2004
6137	West-Vlaanderen province	BE	present	1980-2004
6137	West-Vlaanderen province	BE	present	After 2004
6137	Oost-Vlaanderen province	BE	present	Before 1980
6137	Oost-Vlaanderen province	BE	present	1980-2004
6137	Oost-Vlaanderen province	BE	present	After 2004
6137	Antwerpen province	BE	present	Before 1980
6137	Antwerpen province	BE	present	1980-2004
6137	Antwerpen province	BE	present	After 2004
6137	Limburg province	BE	present	Before 1980
6137	Limburg province	BE	present	1980-2004
6137	Limburg province	BE	present	After 2004
6137	Brabant province	BE	present	Before 1980
6137	Brabant province	BE	present	1980-2004
6137	Brabant province	BE	present	After 2004
6137	Hainaut province	BE	present	Before 1980
6137	Hainaut province	BE	present	1980-2004
6137	Hainaut province	BE	present	After 2004
6137	Namur province	BE	present	Before 1980
6137	Namur province	BE	present	1980-2004
6137	Namur province	BE	present	After 2004
6137	Liège province	BE	present	Before 1980
6137	Liège province	BE	present	1980-2004
6137	Liège province	BE	present	After 2004
6137	Luxembourg province	BE	present	Before 1980
6137	Luxembourg province	BE	present	1980-2004
6137	Luxembourg province	BE	present	After 2004
