id	taxonID	acceptedNameUsageID	scientificName	kingdom	class	order	family	genus	subgenus	specificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	taxonRemarks	modified	language	informationWithheld	references
6810	6810	6021	Depressaria depressella (Fabricius, 1798)	Animalia	Insecta	Lepidoptera		Depressaria		depressella	species	(Fabricius, 1798)	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6810
4612	4612		Prolita solutella (Zeller, 1839)	Animalia	Insecta	Lepidoptera		Prolita		solutella	species	(Zeller, 1839)	accepted	A very rare and local species in Belgium, hitherto only observations in the southern part of the country.	2021-03-12	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/4612
4753	4753		Scrobipalpa obsoletella (Fischer von Röslerstamm, 1841)	Animalia	Insecta	Lepidoptera		Scrobipalpa		obsoletella	species	(Fischer von Röslerstamm, 1841)	accepted	A very rare and local species in Belgium.	2021-03-13	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/4753
7155	7155	4227	Neofaculta gallinella (Treitschke, 1833)	Animalia	Insecta	Lepidoptera		Neofaculta		gallinella	species	(Treitschke, 1833)	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/7155
6024	6024		Depressaria emeritella Stainton, 1849	Animalia	Insecta	Lepidoptera		Depressaria		emeritella	species	Stainton, 1849	accepted	Very rarely observed in Belgium.	2021-04-11	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6024
4637	4637		Psoricoptera gibbosella (Zeller, 1839)	Animalia	Insecta	Lepidoptera		Psoricoptera		gibbosella	species	(Zeller, 1839)	accepted	A rather rare species in Belgium but probably overlooked.	2021-04-11	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/4637
6811	6811	6027	Depressaria heraclei (Retzius, 1783)	Animalia	Insecta	Lepidoptera		Depressaria		heraclei	species	(Retzius, 1783)	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6811
7544	7544	6027	Depressaria pastinacella (Duponchel, 1838)	Animalia	Insecta	Lepidoptera		Depressaria		pastinacella	species	(Duponchel, 1838)	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/7544
7693	7693	6027	Depressaria heracliana sensu auct., nec (Linnaeus, 1758)	Animalia	Insecta	Lepidoptera		Depressaria		heracliana	species	sensu auct., nec (Linnaeus, 1758)	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/7693
4228	4228		Neofaculta infernella (Herrich-Schäffer, 1854)	Animalia	Insecta	Lepidoptera		Neofaculta		infernella	species	(Herrich-Schäffer, 1854)	accepted	A species of colder regions and higher altitudes, restricted to the southern part of Belgium. Hitherto a very rare and local species.	2021-03-08	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/4228
